NR_SEQUENCIA;DS_PROC_EXAME;CD_PROCEDIMENTO;CD_PROCEDIMENTO_TUSS;IE_ORIGEM_PROCED;DS_PROC_EXAME_LOC;IE_ORIGEM_PROC_TUSS;DS_PROCEDIMENTO_TUSS;DS_TIPO_UTIL;DS_ORIGEM_PROCED
28;Terapia Oncológica - Planejamento e 1º Dia de Tratamento;20104294;20104294;5;TERAPIA ONCOLOGICA - PLANEJAMENTO E 1º DIA DE TRATAMENTO;8;Terapia Oncológica 1º Dia de Tratamento;Outros;CBHPM
29;Terapia Oncológica por dia Subsequente de Tratamento;20104308;20104308;5;TERAPIA ONCOLOGICA POR DIA SUBSEQUENTE DE TRATAMENTO;8;Terapia Oncológica por dia Subsequente de Tratamento;Outros;CBHPM
245;Imobilizações Não-Gessadas (Qualquer Segmento);30711010;;5;Imobilizações Não-Gessadas (Qualquer Segmento);8; ;Cirurgicos;CBHPM
246;Membro Inferior;30711029;;5;Membro Inferior;8; ;Cirurgicos;CBHPM
247;Membro Superior;30711037;;5;Membro Superior;8; ;Cirurgicos;CBHPM
248;Áxilo-Palmar Ou Pendente;30712017;;5;Áxilo-Palmar Ou Pendente;8; ;Cirurgicos;CBHPM
249;Bota Com Ou Sem Salto;30712025;;5;Bota Com Ou Sem Salto;8; ;Cirurgicos;CBHPM
250;Colar;30712033;;5;Colar;8; ;Cirurgicos;CBHPM
251;Colete;30712041;;5;Colete;8; ;Cirurgicos;CBHPM
252;Cruro-Podálico;30712050;;5;Cruro-Podálico;8; ;Cirurgicos;CBHPM
253;Dupla Abdução Ou Ducroquet;30712068;;5;Dupla Abdução Ou Ducroquet;8; ;Cirurgicos;CBHPM
254;Halo-Gesso;30712076;;5;Halo-Gesso;8; ;Cirurgicos;CBHPM
255;Inguino-Maleolar;30712084;;5;Inguino-Maleolar;8; ;Cirurgicos;CBHPM
256;Luva;30712092;;5;Luva;8; ;Cirurgicos;CBHPM
257;Minerva Ou Risser Para Escoliose;30712106;;5;Minerva Ou Risser Para Escoliose;8; ;Cirurgicos;CBHPM
258;Pelvipodálico;30712114;;5;Pelvipodálico;8; ;Cirurgicos;CBHPM
259;Spica-Gessada;30712122;;5;Spica-Gessada;8; ;Cirurgicos;CBHPM
260;Tipo Velpeau;30712130;;5;Tipo Velpeau;8; ;Cirurgicos;CBHPM
261;Tóraco-Braquial;30712149;;5;Tóraco-Braquial;8; ;Cirurgicos;CBHPM
262;Biópsia Óssea;30713021;;5;Biópsia Óssea;8; ;Cirurgicos;CBHPM
263;Biópsias Percutânea Sinovial Ou De Tecidos Moles;30713030;;5;Biópsias Percutânea Sinovial Ou De Tecidos Moles;8; ;Cirurgicos;CBHPM
264;Enxertos Em Outras Pseudartroses;30713048;;5;Enxertos Em Outras Pseudartroses;8; ;Cirurgicos;CBHPM
265;Manipulação Articular Sob Anestesia Geral;30713064;;5;Manipulação Articular Sob Anestesia Geral;8; ;Cirurgicos;CBHPM
266;Punção Articular Diagnóstica Ou Terapêutica (Infiltração). Quando Orientada Por Rx, Us, Tc E Rm, Cob;30713137;;5;Punção Articular Diagnóstica Ou Terapêutica (Infiltração). Quando Orientada Por Rx, Us, Tc E Rm, Cob;8; ;Cirurgicos;CBHPM
267;Punção Extra-Articular Diagnóstica Ou Terapêutica (Infiltração/Agulhamento Seco). Quando Orientada P;30713145;;5;Punção Extra-Articular Diagnóstica Ou Terapêutica (Infiltração/Agulhamento Seco). Quando Orientada P;8; ;Cirurgicos;CBHPM
268;Retirada De Enxerto Ósseo;30713072;;5;Retirada De Enxerto Ósseo;8; ;Cirurgicos;CBHPM
269;Corpo Estranho Intra-Articular - Tratamento Cirúrgico;30714010;;5;Corpo Estranho Intra-Articular - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
270;Corpo Estranho Intramuscular - Tratamento Cirúrgico;30714036;;5;Corpo Estranho Intramuscular - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
271;Corpo Estranho Intra-Ósseo - Tratamento Cirúrgico;30714028;;5;Corpo Estranho Intra-Ósseo - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
272;Artrodese Da Coluna C/ Instrumentação Por Segmento;30715016;;5;Artrodese Da Coluna C/ Instrumentação Por Segmento;8; ;Cirurgicos;CBHPM
273;Artrodese De Coluna Via Anterior Ou Póstero Lateral - Tratamento Cirúrgico;30715024;;5;Artrodese De Coluna Via Anterior Ou Póstero Lateral - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
274;Biópsia Da Coluna;30715032;;5;Biópsia Da Coluna;8; ;Cirurgicos;CBHPM
275;Biópsia De Corpo Vertebral Com Agulha;30715040;;5;Biópsia De Corpo Vertebral Com Agulha;8; ;Cirurgicos;CBHPM
276;Cirurgia De Coluna Por Via Endoscópica;30715059;;5;Cirurgia De Coluna Por Via Endoscópica;8; ;Cirurgicos;CBHPM
277;Cordotomia - Mielotomia;30715067;;5;Cordotomia - Mielotomia;8; ;Cirurgicos;CBHPM
278;Costela Cervical - Tratamento Cirúrgico;30715075;;5;Costela Cervical - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
279;Derivação Lombar Externa;30715083;;5;Derivação Lombar Externa;8; ;Cirurgicos;CBHPM
162;Pterígio - Exérese;30303060;;5;Pterígio - Exérese;8; ;Cirurgicos;CBHPM
134;Esfoliação Química Superficial (Por Sessão);30101417;;5;Esfoliação Química Superficial (Por Sessão);8; ;Cirurgicos;CBHPM
135;Exérese De Higroma Cístico;30101425;;5;Exérese De Higroma Cístico;8; ;Cirurgicos;CBHPM
136;Exérese De Higroma Cístico No Rn E Lactente;30101433;;5;Exérese De Higroma Cístico No Rn E Lactente;8; ;Cirurgicos;CBHPM
137;Exérese De Lesão / Tumor De Pele E Mucosas;30101468;;5;Exérese De Lesão / Tumor De Pele E Mucosas;8; ;Cirurgicos;CBHPM
138;Exérese De Lesão Com Auto-Enxertia;30101441;;5;Exérese De Lesão Com Auto-Enxertia;8; ;Cirurgicos;CBHPM
139;Exérese De Tumor E Rotação De Retalho Músculo-Cutâneo;30101476;;5;Exérese De Tumor E Rotação De Retalho Músculo-Cutâneo;8; ;Cirurgicos;CBHPM
140;Exérese De Unha;30101484;;5;Exérese De Unha;8; ;Cirurgicos;CBHPM
141;Exérese E Sutura De Hemangioma, Linfangioma Ou Nevus (Por Grupo De Até 5 Lesões);30101921;;5;Exérese E Sutura De Hemangioma, Linfangioma Ou Nevus (Por Grupo De Até 5 Lesões);8; ;Cirurgicos;CBHPM
142;Exérese E Sutura De Lesões (Circulares Ou Não) Com Rotação De Retalhos Cutâneos;30101450;;5;Exérese E Sutura De Lesões (Circulares Ou Não) Com Rotação De Retalhos Cutâneos;8; ;Cirurgicos;CBHPM
143;Exérese E Sutura Simples De Pequenas Lesões - Grupo De Até 5 Lesões;30101492;;5;Exérese E Sutura Simples De Pequenas Lesões - Grupo De Até 5 Lesões;8; ;Cirurgicos;CBHPM
144;Exérese Tangencial (Shaving) - (Por Grupo De Até 5 Lesões);30101506;;5;Exérese Tangencial (Shaving) - (Por Grupo De Até 5 Lesões);8; ;Cirurgicos;CBHPM
145;Expansão Tissular (Por Sessão);30101514;;5;Expansão Tissular (Por Sessão);8; ;Cirurgicos;CBHPM
146;Extensos Ferimentos, Cicatrizes Ou Tumores - Excisão E Retalhos Cutâneos Da Região;30101522;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Excisão E Retalhos Cutâneos Da Região;8; ;Cirurgicos;CBHPM
147;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Emprego De Retalhos Cutâneos Ou Musculares  C;30101530;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Emprego De Retalhos Cutâneos Ou Musculares  C;8; ;Cirurgicos;CBHPM
148;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Retalhos Cutâneos À Distância;30101549;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Retalhos Cutâneos À Distância;8; ;Cirurgicos;CBHPM
149;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalho Fasciocutâneo Ou Axial;30101557;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalho Fasciocutâneo Ou Axial;8; ;Cirurgicos;CBHPM
150;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalhos Miocutâneos;30101565;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalhos Miocutâneos;8; ;Cirurgicos;CBHPM
151;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalhos Musculares;30101573;;5;Extensos Ferimentos, Cicatrizes Ou Tumores - Exérese E Rotação De Retalhos Musculares;8; ;Cirurgicos;CBHPM
152;Extensos Ferimentos, Cicatrizes, Ou Tumores - Exérese E Enxerto Cutâneo;30101581;;5;Extensos Ferimentos, Cicatrizes, Ou Tumores - Exérese E Enxerto Cutâneo;8; ;Cirurgicos;CBHPM
153;Face - Biópsia;30101590;;5;Face - Biópsia;8; ;Cirurgicos;CBHPM
154;Ferimentos Infectados E Mordidas De Animais (Desbridamento);30101603;;5;Ferimentos Infectados E Mordidas De Animais (Desbridamento);8; ;Cirurgicos;CBHPM
155;Incisão E Drenagem De Abscesso, Hematoma Ou Panarício;30101620;;5;Incisão E Drenagem De Abscesso, Hematoma Ou Panarício;8; ;Cirurgicos;CBHPM
156;Incisão E Drenagem De Flegmão;30101638;;5;Incisão E Drenagem De Flegmão;8; ;Cirurgicos;CBHPM
157;Incisão E Drenagem De Tenossinovites Purulentas;30101611;;5;Incisão E Drenagem De Tenossinovites Purulentas;8; ;Cirurgicos;CBHPM
158;Infiltração  Intralesional, Cicatricial E Hemangiomas - Por Sessão;30101646;;5;Infiltração  Intralesional, Cicatricial E Hemangiomas - Por Sessão;8; ;Cirurgicos;CBHPM
159;Lasercirurgia (Por Sessão);30101654;;5;Lasercirurgia (Por Sessão);8; ;Cirurgicos;CBHPM
160;Infiltração Subconjuntival;30303044;;5;Infiltração Subconjuntival;8; ;Cirurgicos;CBHPM
161;Plástica De Conjuntiva;30303052;;5;Plástica De Conjuntiva;8; ;Cirurgicos;CBHPM
32;Taxa de Sala;91020004;;4;TAXA DE SALA;8; ;Outros;Próprio
33;Taxa de Sala Ambulatorial II;91020005;;4;TAXA DE SALA AMBULATORIAL II;8; ;Outros;Próprio
163;Reconstituição De Fundo De Saco;30303079;;5;Reconstituição De Fundo De Saco;8; ;Cirurgicos;CBHPM
164;Sutura De Conjuntiva;30303087;;5;Sutura De Conjuntiva;8; ;Cirurgicos;CBHPM
165;Transplante De Limbo;30303095;;5;Transplante De Limbo;8; ;Cirurgicos;CBHPM
166;Tumor De Conjuntiva - Exérese;30303109;;5;Tumor De Conjuntiva - Exérese;8; ;Cirurgicos;CBHPM
167;Cauterização De Córnea;30304016;;5;Cauterização De Córnea;8; ;Cirurgicos;CBHPM
168;Ceratectomia Superficial - Monocular;30304024;;5;Ceratectomia Superficial - Monocular;8; ;Cirurgicos;CBHPM
169;Corpo Estranho Da Córnea - Retirada;30304032;;5;Corpo Estranho Da Córnea - Retirada;8; ;Cirurgicos;CBHPM
170;Delaminação Corneana Com Fotoablação Estromal - Lasik;30304105;;5;Delaminação Corneana Com Fotoablação Estromal - Lasik;8; ;Cirurgicos;CBHPM
171;Fotoablação De Superfície Convencional - Prk;30304091;;5;Fotoablação De Superfície Convencional - Prk;8; ;Cirurgicos;CBHPM
172;Implante De Anel Intra-Estromal;30304083;;5;Implante De Anel Intra-Estromal;8; ;Cirurgicos;CBHPM
173;Ptk Ceratectomia Fototerapêutica - Monocular;30304040;;5;Ptk Ceratectomia Fototerapêutica - Monocular;8; ;Cirurgicos;CBHPM
174;Recobrimento Conjuntival;30304059;;5;Recobrimento Conjuntival;8; ;Cirurgicos;CBHPM
175;Sutura De Córnea (Com Ou Sem Hérnia De Íris);30304067;;5;Sutura De Córnea (Com Ou Sem Hérnia De Íris);8; ;Cirurgicos;CBHPM
176;Tarsoconjuntivoceratoplastia;30304075;;5;Tarsoconjuntivoceratoplastia;8; ;Cirurgicos;CBHPM
177;Paracentese Da Câmara Anterior;30305012;;5;Paracentese Da Câmara Anterior;8; ;Cirurgicos;CBHPM
178;Reconstrução Da Câmara Anterior;30305020;;5;Reconstrução Da Câmara Anterior;8; ;Cirurgicos;CBHPM
179;Remoção De Hifema;30305039;;5;Remoção De Hifema;8; ;Cirurgicos;CBHPM
180;Retirada De Corpo Estranho Da Câmara Anterior;30305047;;5;Retirada De Corpo Estranho Da Câmara Anterior;8; ;Cirurgicos;CBHPM
181;Capsulotomia Yag Ou Cirúrgica;30306019;;5;Capsulotomia Yag Ou Cirúrgica;8; ;Cirurgicos;CBHPM
182;Facectomia Com Lente Intra-Ocular Com Facoemulsificação;30306027;;5;Facectomia Com Lente Intra-Ocular Com Facoemulsificação;8; ;Cirurgicos;CBHPM
183;Facectomia Com Lente Intra-Ocular Sem Facoemulsificação;30306035;;5;Facectomia Com Lente Intra-Ocular Sem Facoemulsificação;8; ;Cirurgicos;CBHPM
184;Facectomia Sem Implante;30306043;;5;Facectomia Sem Implante;8; ;Cirurgicos;CBHPM
185;Fixação Iriana De Lente Intra-Ocular;30306051;;5;Fixação Iriana De Lente Intra-Ocular;8; ;Cirurgicos;CBHPM
186;Implante Secundário / Explante / Fixação Escleral Ou Iriana;30306060;;5;Implante Secundário / Explante / Fixação Escleral Ou Iriana;8; ;Cirurgicos;CBHPM
187;Remoção De Pigmentos Da Lente Intra-Ocular Com Yag-Laser;30306078;;5;Remoção De Pigmentos Da Lente Intra-Ocular Com Yag-Laser;8; ;Cirurgicos;CBHPM
188;Biópsia De Tumor Via Pars Plana;30307015;;5;Biópsia De Tumor Via Pars Plana;8; ;Cirurgicos;CBHPM
189;Biópsia De Vítreo Via Pars Plana;30307023;;5;Biópsia De Vítreo Via Pars Plana;8; ;Cirurgicos;CBHPM
190;Endolaser/Endodiatermia;30307031;;5;Endolaser/Endodiatermia;8; ;Cirurgicos;CBHPM
191;Implante De Silicone Intravítreo;30307040;;5;Implante De Silicone Intravítreo;8; ;Cirurgicos;CBHPM
192;Infusão De Perfluocarbono;30307058;;5;Infusão De Perfluocarbono;8; ;Cirurgicos;CBHPM
193;Membranectomia Epi Ou Sub-Retiniana;30307066;;5;Membranectomia Epi Ou Sub-Retiniana;8; ;Cirurgicos;CBHPM
194;Retirada De Corpo Estranho;30307074;;5;Retirada De Corpo Estranho;8; ;Cirurgicos;CBHPM
195;Tratamento Cirúrgico De Sinus Pré-Auricular;30401100;;5;Tratamento Cirúrgico De Sinus Pré-Auricular;8; ;Cirurgicos;CBHPM
196;Aspiração Auricular Ou Curativo;30402018;;5;Aspiração Auricular Ou Curativo;8; ;Cirurgicos;CBHPM
197;Biópsia (Orelha Externa);30402026;;5;Biópsia (Orelha Externa);8; ;Cirurgicos;CBHPM
198;Cisto Pré-Auricular (Coloboma Auris) - Exérese-Unilateral;30402034;;5;Cisto Pré-Auricular (Coloboma Auris) - Exérese-Unilateral;8; ;Cirurgicos;CBHPM
199;Corpos Estranhos, Pólipos Ou Biópsia - Em Consultório;30402042;;5;Corpos Estranhos, Pólipos Ou Biópsia - Em Consultório;8; ;Cirurgicos;CBHPM
200;Corpos Estranhos, Pólipos Ou Biópsia - Em Hospital Sob Anestesia Geral;30402050;;5;Corpos Estranhos, Pólipos Ou Biópsia - Em Hospital Sob Anestesia Geral;8; ;Cirurgicos;CBHPM
201;Estenose De Conduto Auditivo Externo - Correção;30402069;;5;Estenose De Conduto Auditivo Externo - Correção;8; ;Cirurgicos;CBHPM
202;Furúnculo - Drenagem (Ouvido);30402077;;5;Furúnculo - Drenagem (Ouvido);8; ;Cirurgicos;CBHPM
203;Pericondrite De Pavilhão - Tratamento Cirúrgico Com Desbridamento;30402085;;5;Pericondrite De Pavilhão - Tratamento Cirúrgico Com Desbridamento;8; ;Cirurgicos;CBHPM
204;Tumor Benigno De Conduto Auditivo Externo - Exérese;30402093;;5;Tumor Benigno De Conduto Auditivo Externo - Exérese;8; ;Cirurgicos;CBHPM
205;Cauterização De Membrana Timpânica;30403014;;5;Cauterização De Membrana Timpânica;8; ;Cirurgicos;CBHPM
206;Estapedectomia Ou Estapedotomia;30403030;;5;Estapedectomia Ou Estapedotomia;8; ;Cirurgicos;CBHPM
207;Exploração E Descompressão Parcial Do Nervo Facial Intratemporal;30403049;;5;Exploração E Descompressão Parcial Do Nervo Facial Intratemporal;8; ;Cirurgicos;CBHPM
208;Fístula Perilinfática - Fechamento Cirúrgico;30403057;;5;Fístula Perilinfática - Fechamento Cirúrgico;8; ;Cirurgicos;CBHPM
209;Glomus Jugular - Ressecção;30403065;;5;Glomus Jugular - Ressecção;8; ;Cirurgicos;CBHPM
210;Glomus Timpânicus - Ressecção;30403073;;5;Glomus Timpânicus - Ressecção;8; ;Cirurgicos;CBHPM
211;Mastoidectomia Simples Ou Radical Modificada;30403081;;5;Mastoidectomia Simples Ou Radical Modificada;8; ;Cirurgicos;CBHPM
212;Ouvido Congênito - Tratamento Cirúrgico;30403090;;5;Ouvido Congênito - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
213;Paracentese Do Tímpano - Miringotomia, Unilateral (Em Consultório);30403103;;5;Paracentese Do Tímpano - Miringotomia, Unilateral (Em Consultório);8; ;Cirurgicos;CBHPM
214;Paracentese Do Tímpano, Unilateral, Em Hospital/Anest. Geral;30403162;;5;Paracentese Do Tímpano, Unilateral, Em Hospital/Anest. Geral;8; ;Cirurgicos;CBHPM
215;Tímpano-Mastoidectomia;30403111;;5;Tímpano-Mastoidectomia;8; ;Cirurgicos;CBHPM
216;Timpanoplastia Com Reconstrução Da Cadeia Ossicular;30403120;;5;Timpanoplastia Com Reconstrução Da Cadeia Ossicular;8; ;Cirurgicos;CBHPM
217;Timpanoplastia Tipo I - Miringoplastia - Unilateral;30403138;;5;Timpanoplastia Tipo I - Miringoplastia - Unilateral;8; ;Cirurgicos;CBHPM
26;Em Consultorio (no horário normal ou preestabeleciado);10101012;10101012;5;EM CONSULTORIO (NO HORARIO NORMAL OU PREESTABELECIADO);8;Em Consultorio (no horário normal ou preestabeleciado);Outros;CBHPM
218;Timpanotomia Exploradora - Unilateral;30403146;;5;Timpanotomia Exploradora - Unilateral;8; ;Cirurgicos;CBHPM
219;Timpanotomia Para Tubo De Ventilação - Unilateral;30403154;;5;Timpanotomia Para Tubo De Ventilação - Unilateral;8; ;Cirurgicos;CBHPM
220;"""Doença De Meniere - Tratamento Cirúrgico - Descompressão Do Saco Endolinfático Ou """"Shunt""""""";30404010;;5;"""Doença De Meniere - Tratamento Cirúrgico - Descompressão Do Saco Endolinfático Ou """"Shunt""""""";8; ;Cirurgicos;CBHPM
221;Enxerto Parcial Intratemporal Do Nervo Facial - Do Foramem Estilo-Mastóideo Ao Gânglio Geniculado;30404029;;5;Enxerto Parcial Intratemporal Do Nervo Facial - Do Foramem Estilo-Mastóideo Ao Gânglio Geniculado;8; ;Cirurgicos;CBHPM
222;Enxerto Parcial Intratemporal Do Nervo Facial - Do Gânglio Geniculado Ao Meato Acústico Interno;30404037;;5;Enxerto Parcial Intratemporal Do Nervo Facial - Do Gânglio Geniculado Ao Meato Acústico Interno;8; ;Cirurgicos;CBHPM
223;Autotransplante De Dois Retalhos, Um Cutâneo Combinado A Retalho Osteomuscular, Isolados E Associado;30705045;;5;Autotransplante De Dois Retalhos, Um Cutâneo Combinado A Retalho Osteomuscular, Isolados E Associado;8; ;Cirurgicos;CBHPM
224;Autotransplante De Epiplon;30705053;;5;Autotransplante De Epiplon;8; ;Cirurgicos;CBHPM
225;Autotransplante De Outros Retalhos,  Isolados  Entre  Si, E Associados Mediante Um Único Pedículo Va;30705061;;5;Autotransplante De Outros Retalhos,  Isolados  Entre  Si, E Associados Mediante Um Único Pedículo Va;8; ;Cirurgicos;CBHPM
226;Autotransplante De Três Retalhos, Um Cutâneo Separado, Combinado A Outros Dois Retalhos Musculares I;30705070;;5;Autotransplante De Três Retalhos, Um Cutâneo Separado, Combinado A Outros Dois Retalhos Musculares I;8; ;Cirurgicos;CBHPM
227;Reimplante De Segmentos Distais Do Membro Superior, Com Ressecção Segmentar;30705100;;5;Reimplante De Segmentos Distais Do Membro Superior, Com Ressecção Segmentar;8; ;Cirurgicos;CBHPM
228;Reimplante Do Membro Inferior Do Nível Médio Proximal Da Perna Até A Coxa;30706017;;5;Reimplante Do Membro Inferior Do Nível Médio Proximal Da Perna Até A Coxa;8; ;Cirurgicos;CBHPM
229;Reimplante Do Membro Inferior Do Pé Até O Terço Médio Da Perna;30706025;;5;Reimplante Do Membro Inferior Do Pé Até O Terço Médio Da Perna;8; ;Cirurgicos;CBHPM
230;Reimplante Do Membro Superior,  Do Nível Médio Do Antebraço Até O Ombro;30706033;;5;Reimplante Do Membro Superior,  Do Nível Médio Do Antebraço Até O Ombro;8; ;Cirurgicos;CBHPM
231;Transplante Articular De Metatarsofalângica Para A Mão;30707013;;5;Transplante Articular De Metatarsofalângica Para A Mão;8; ;Cirurgicos;CBHPM
232;Transplante De 2º Pododáctilo Para Mão;30707021;;5;Transplante De 2º Pododáctilo Para Mão;8; ;Cirurgicos;CBHPM
233;Transplante De Dedos Do Pé Para A Mão;30707030;;5;Transplante De Dedos Do Pé Para A Mão;8; ;Cirurgicos;CBHPM
234;Transplante De Dois Pododáctilos Para A Mão;30707064;;5;Transplante De Dois Pododáctilos Para A Mão;8; ;Cirurgicos;CBHPM
235;Transplante Do 2º Pododáctilo Para O Polegar;30707048;;5;Transplante Do 2º Pododáctilo Para O Polegar;8; ;Cirurgicos;CBHPM
236;Transplante Do Hallux Para Polegar;30707056;;5;Transplante Do Hallux Para Polegar;8; ;Cirurgicos;CBHPM
237;Instalação De Halo Craniano;30709016;;5;Instalação De Halo Craniano;8; ;Cirurgicos;CBHPM
238;Tração Cutânea;30709024;;5;Tração Cutânea;8; ;Cirurgicos;CBHPM
239;Tração Transesquelética (Por Membro);30709032;;5;Tração Transesquelética (Por Membro);8; ;Cirurgicos;CBHPM
240;Fios Ou Pinos Metálicos Transósseos;30710014;;5;Fios Ou Pinos Metálicos Transósseos;8; ;Cirurgicos;CBHPM
241;Fios, Pinos, Parafusos Ou Hastes Metálicas Intra-Ósseas;30710022;;5;Fios, Pinos, Parafusos Ou Hastes Metálicas Intra-Ósseas;8; ;Cirurgicos;CBHPM
242;Placas;30710030;;5;Placas;8; ;Cirurgicos;CBHPM
243;Próteses De Substituição De Pequenas Articulações;30710049;;5;Próteses De Substituição De Pequenas Articulações;8; ;Cirurgicos;CBHPM
244;Retirada De Fixadores Externos;30710057;;5;Retirada De Fixadores Externos;8; ;Cirurgicos;CBHPM
459;Tratamento Cirúrgico Da Polidactilia Múltipla E/Ou Complexa;30722853;;5;Tratamento Cirúrgico Da Polidactilia Múltipla E/Ou Complexa;8; ;Cirurgicos;CBHPM
460;Tratamento Cirúrgico Da Sindactilia Múltipla Com Emprego De Expansor - Por Estágio;30722861;;5;Tratamento Cirúrgico Da Sindactilia Múltipla Com Emprego De Expansor - Por Estágio;8; ;Cirurgicos;CBHPM
461;Tratamento Da Doença De Kiembuck Com Transplante Vascularizado;30722870;;5;Tratamento Da Doença De Kiembuck Com Transplante Vascularizado;8; ;Cirurgicos;CBHPM
462;Tratamento Da Pseudoartrose Do Escafóide Com Transplante Ósseo Vascularizado E Fixação Com Micro Par;30722888;;5;Tratamento Da Pseudoartrose Do Escafóide Com Transplante Ósseo Vascularizado E Fixação Com Micro Par;8; ;Cirurgicos;CBHPM
463;Biópsia Cirúrgica De Cintura Pélvica;30723019;;5;Biópsia Cirúrgica De Cintura Pélvica;8; ;Cirurgicos;CBHPM
464;Desarticulação Interílio Abdominal - Tratamento Cirúrgico;30723027;;5;Desarticulação Interílio Abdominal - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
465;Fratura/Luxação Com Fixador Externo - Tratamento Cirúrgico;30723043;;5;Fratura/Luxação Com Fixador Externo - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
466;Fraturas E/Ou Luxações Do Anel Pélvico - Redução Incruenta;30723060;;5;Fraturas E/Ou Luxações Do Anel Pélvico - Redução Incruenta;8; ;Cirurgicos;CBHPM
467;Fraturas E/Ou Luxações Do Anel Pélvico (Com Uma Ou Mais Abordagens) - Tratamento Cirúrgico;30723051;;5;Fraturas E/Ou Luxações Do Anel Pélvico (Com Uma Ou Mais Abordagens) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
468;Osteomielite  Ao Nível Da Pelve - Tratamento Cirúrgico;30723078;;5;Osteomielite  Ao Nível Da Pelve - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
469;Osteotomias / Artrodeses - Tratamento Cirúrgico;30723086;;5;Osteotomias / Artrodeses - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
470;Artrite Séptica  - Tratamento Cirúrgico;30724015;;5;Artrite Séptica  - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
471;Artrodese / Fratura De Acetábulo (Ligamentotaxia) Com Fixador Externo;30724023;;5;Artrodese / Fratura De Acetábulo (Ligamentotaxia) Com Fixador Externo;8; ;Cirurgicos;CBHPM
472;Artrodese Coxo-Femoral Em Geral - Tratamento Cirúrgico;30724031;;5;Artrodese Coxo-Femoral Em Geral - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
473;Artrodiastase De Quadril;30724040;;5;Artrodiastase De Quadril;8; ;Cirurgicos;CBHPM
474;Artroplastia (Qualquer Técnica Ou Versão De Quadril) - Tratamento Cirúrgico;30724058;;5;Artroplastia (Qualquer Técnica Ou Versão De Quadril) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
475;Artroplastia De Quadril Infectada (Retirada Dos Componentes) - Tratamento Cirúrgico;30724066;;5;Artroplastia De Quadril Infectada (Retirada Dos Componentes) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
476;Artroplastia De Ressecção Do Quadril (Girdlestone) - Tratamento Cirúrgico;30724074;;5;Artroplastia De Ressecção Do Quadril (Girdlestone) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
477;Artroplastia Parcial Do Quadril (Tipo Thompson Ou Qualquer Técnica) - Tratamento Cirúrgico;30724082;;5;Artroplastia Parcial Do Quadril (Tipo Thompson Ou Qualquer Técnica) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
478;Artrotomia Coxo-Femoral - Tratamento Cirúrgico;30724104;;5;Artrotomia Coxo-Femoral - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
479;Artrotomia De Quadril Infectada (Incisão E Drenagem De Artrite Séptica) Sem Retirada De Componente -;30724090;;5;Artrotomia De Quadril Infectada (Incisão E Drenagem De Artrite Séptica) Sem Retirada De Componente -;8; ;Cirurgicos;CBHPM
480;Biópsia Cirúrgica Coxo-Femoral;30724112;;5;Biópsia Cirúrgica Coxo-Femoral;8; ;Cirurgicos;CBHPM
481;Desarticulação Coxo-Femoral - Tratamento Cirúrgico;30724120;;5;Desarticulação Coxo-Femoral - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
482;Epifisiodese C/ Abaixamento Do Grande Trocanter - Tratamento Cirúrgico;30724139;;5;Epifisiodese C/ Abaixamento Do Grande Trocanter - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
483;"""Epifisiolistese Proximal De Fêmur (Fixação """"In Situ"""") - Tratamento Cirúrgico""";30724147;;5;"""Epifisiolistese Proximal De Fêmur (Fixação """"In Situ"""") - Tratamento Cirúrgico""";8; ;Cirurgicos;CBHPM
