NR_SEQUENCIA;DS_PROC_EXAME;CD_PROCEDIMENTO;CD_PROCEDIMENTO_TUSS;IE_ORIGEM_PROCED;DS_PROC_EXAME_LOC;IE_ORIGEM_PROC_TUSS;DS_PROCEDIMENTO_TUSS;DS_TIPO_UTIL;DS_ORIGEM_PROCED
1349;Inguino-Cural;30701120;;5;Inguino-Cural;8; ;Cirurgicos;CBHPM
1350;Intercostal;30701139;;5;Intercostal;8; ;Cirurgicos;CBHPM
1351;Interdigital Da 1a Comissura Dos Dedos Do Pé;30701147;;5;Interdigital Da 1a Comissura Dos Dedos Do Pé;8; ;Cirurgicos;CBHPM
1352;Outros Transplantes Cutâneos;30701155;;5;Outros Transplantes Cutâneos;8; ;Cirurgicos;CBHPM
1353;Paraescapular;30701163;;5;Paraescapular;8; ;Cirurgicos;CBHPM
1354;Retroauricular;30701171;;5;Retroauricular;8; ;Cirurgicos;CBHPM
1355;Temporal;30701180;;5;Temporal;8; ;Cirurgicos;CBHPM
1356;Transplante Cutâneo Com Microanastomose;30701198;;5;Transplante Cutâneo Com Microanastomose;8; ;Cirurgicos;CBHPM
1357;Grande Dorsal (Latissimus Dorsi);30702011;;5;Grande Dorsal (Latissimus Dorsi);8; ;Cirurgicos;CBHPM
1358;Grande Glúteo (Gluteus Maximus);30702020;;5;Grande Glúteo (Gluteus Maximus);8; ;Cirurgicos;CBHPM
1359;Outros Transplantes Músculo-Cutâneos;30702038;;5;Outros Transplantes Músculo-Cutâneos;8; ;Cirurgicos;CBHPM
1360;Reto Abdominal (Rectus Abdominis);30702046;;5;Reto Abdominal (Rectus Abdominis);8; ;Cirurgicos;CBHPM
1361;Reto Interno (Gracilis);30702054;;5;Reto Interno (Gracilis);8; ;Cirurgicos;CBHPM
1362;Serrato Maior (Serratus);30702062;;5;Serrato Maior (Serratus);8; ;Cirurgicos;CBHPM
1363;Tensor Da Fascia Lata (Tensor Fascia Lata);30702070;;5;Tensor Da Fascia Lata (Tensor Fascia Lata);8; ;Cirurgicos;CBHPM
1364;Transplante Cutâneo Sem Microanastomose, Ilha Neurovascular;30701201;;5;Transplante Cutâneo Sem Microanastomose, Ilha Neurovascular;8; ;Cirurgicos;CBHPM
1365;Transplante Miocutâneo Com Microanastomose;30701210;;5;Transplante Miocutâneo Com Microanastomose;8; ;Cirurgicos;CBHPM
1366;Trapézio (Trapezius);30702089;;5;Trapézio (Trapezius);8; ;Cirurgicos;CBHPM
1367;Abrasão Cirúrgica (Por Sessão);30101018;;5;Abrasão Cirúrgica (Por Sessão);8; ;Cirurgicos;CBHPM
1368;Abscesso De Unha (Drenagem) - Tratamento Cirúrgico;30101930;;5;Abscesso De Unha (Drenagem) - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
1369;Alopecia Parcial - Exérese E Sutura;30101026;;5;Alopecia Parcial - Exérese E Sutura;8; ;Cirurgicos;CBHPM
